Estado,Cidade,Total_de_mortes,Populacao_inicial,Populacao_final
AC,Acrelândia,37,15490,15256
AC,Assis Brasil,24,7534,7417
AC,Brasiléia,44,26702,26278
AC,Bujari,17,10420,10266
AC,Capixaba,17,12008,11733
AC,Cruzeiro do Sul,168,89072,88376
AC,Epitaciolândia,36,18696,18411
AC,Feijó,63,34884,34780
AC,Jordão,2,8473,8317
AC,Manoel Urbano,14,9581,9459
AC,Marechal Thaumaturgo,13,19299,18867
AC,Mâncio Lima,32,19311,18977
AC,Plácido de Castro,20,19955,19761
AC,Porto Acre,38,18824,18504
AC,Porto Walter,6,12241,11982
AC,Rio Branco,1090,413418,407319
AC,Rodrigues Alves,14,19351,18930
AC,Santa Rosa do Purus,7,6717,6540
AC,Sena Madureira,83,46511,45848
AC,Senador Guiomard,42,23236,23024
AC,Tarauacá,47,43151,42567
AC,Xapuri,31,19596,19323
AL,Anadia,37,17526,17545
AL,Arapiraca,560,233047,231747
AL,Atalaia,56,47365,47185
AL,Barra de Santo Antônio,33,16068,15932
AL,Barra de São Miguel,10,8378,8322
AL,Batalha,23,18338,18232
AL,Belo Monte,9,6710,6704
AL,Belém,8,4284,4344
AL,Boca da Mata,50,27356,27281
AL,Branquinha,16,10460,10494
AL,Cacimbinhas,12,10889,10858
AL,Cajueiro,33,21331,21264
AL,Campestre,6,6954,6936
AL,Campo Alegre,84,57537,57063
AL,Campo Grande,11,9567,9558
AL,Canapi,13,17719,17722
AL,Capela,20,16979,17053
AL,Carneiros,11,9159,9081
AL,Chã Preta,11,7311,7311
AL,Coité do Nóia,22,10643,10693
AL,Colônia Leopoldina,21,21818,21698
AL,Coqueiro Seco,9,5864,5845
AL,Coruripe,61,57294,56933
AL,Craíbas,33,24309,24219
AL,Delmiro Gouveia,144,52262,52016
AL,Dois Riachos,8,11067,11075
AL,Estrela de Alagoas,19,18255,18205
AL,Feira Grande,22,22178,22166
AL,Feliz Deserto,5,4779,4754
AL,Flexeiras,20,12807,12790
AL,Girau do Ponciano,52,41237,40917
AL,Ibateguara,21,15627,15616
AL,Igaci,33,25613,25631
AL,Igreja Nova,22,24586,24499
AL,Importados/Indefinidos,8,0,0
AL,Inhapi,17,18392,18385
AL,Jacaré dos Homens,5,5219,5253
AL,Jacuípe,4,7006,7021
AL,Japaratinga,16,8403,8361
AL,Jaramataia,4,5761,5770
AL,Jequiá da Praia,13,11536,11580
AL,Joaquim Gomes,27,24081,23993
AL,Jundiá,5,4137,4155
AL,Junqueiro,50,24722,24727
AL,Lagoa da Canoa,25,17771,17852
AL,Limoeiro de Anadia,35,28771,28635
AL,Maceió,3006,1025360,1018948
AL,Major Isidoro,24,19864,19804
AL,Mar Vermelho,4,3494,3514
AL,Maragogi,51,33032,32704
AL,Maravilha,18,9004,9163
AL,Marechal Deodoro,125,52380,51901
AL,Maribondo,18,13193,13264
AL,Mata Grande,26,25207,25216
AL,Matriz de Camaragibe,45,24634,24642
AL,Messias,29,18031,17856
AL,Minador do Negrão,10,5322,5329
AL,Monteirópolis,14,7165,7159
AL,Murici,51,28333,28236
AL,Novo Lino,13,12764,12690
AL,Olho d'Água Grande,9,5128,5123
AL,Olho d'Água das Flores,42,21738,21688
AL,Olho d'Água do Casado,6,9441,9373
AL,Olivença,17,11657,11624
AL,Ouro Branco,11,11535,11496
AL,Palestina,4,5037,5011
AL,Palmeira dos Índios,169,73337,73218
AL,Pariconha,10,10539,10533
AL,Paripueira,28,13332,13176
AL,Passo de Camaragibe,23,15258,15245
AL,Paulo Jacinto,16,7560,7564
AL,Penedo,90,63846,63683
AL,Piaçabuçu,23,17848,17827
AL,Pilar,62,35212,35111
AL,Pindoba,2,2905,2908
AL,Piranhas,27,25183,25039
AL,Porto Calvo,49,27249,27165
AL,Porto Real do Colégio,21,20112,20066
AL,Porto de Pedras,15,7701,7786
AL,Poço das Trincheiras,12,14418,14386
AL,Pão de Açúcar,31,24351,24399
AL,Quebrangulo,15,11248,11294
AL,Rio Largo,185,75394,75120
AL,Roteiro,14,6649,6664
AL,Santa Luzia do Norte,9,7320,7296
AL,Santana do Ipanema,109,47819,47654
AL,Santana do Mundaú,19,10687,10740
AL,Satuba,40,13936,13828
AL,Senador Rui Palmeira,13,13921,13870
AL,São Brás,4,6969,6961
AL,São José da Laje,32,23996,23927
AL,São José da Tapera,43,32405,32260
AL,São Luís do Quitunde,27,34692,34555
AL,São Miguel dos Campos,107,61797,61251
AL,São Miguel dos Milagres,16,8013,7951
AL,São Sebastião,39,34290,34152
AL,Tanque d'Arca,12,6138,6162
AL,Taquarana,27,20072,19980
AL,Teotônio Vilela,72,44372,44169
AL,Traipu,27,27826,27715
AL,União dos Palmares,100,65790,65611
AL,Viçosa,41,25693,25733
AL,Água Branca,30,20230,20196
AM,Alvarães,46,16220,16041
AM,Amaturá,18,11736,11536
AM,Anamã,10,13956,13614
AM,Anori,33,21477,21010
AM,Apuí,33,22359,21973
AM,Atalaia do Norte,10,20398,19921
AM,Autazes,96,40290,39565
AM,Barcelos,60,27638,27502
AM,Barreirinha,64,32483,32041
AM,Benjamin Constant,88,43935,42984
AM,Beruri,34,20093,19679
AM,Boa Vista do Ramos,13,19626,19207
AM,Boca do Acre,27,34635,34308
AM,Borba,70,41748,41161
AM,Caapiranga,22,13283,13081
AM,Canutama,10,15807,15629
AM,Carauari,57,28508,28294
AM,Careiro,87,38348,37869
AM,Careiro da Várzea,25,30846,30225
AM,Coari,236,85910,85097
AM,Codajás,25,29168,28637
AM,Eirunepé,34,35700,35273
AM,Envira,13,20393,20033
AM,Fonte Boa,44,17005,17609
AM,Guajará,29,16937,16678
AM,Humaitá,151,56144,55080
AM,Ipixuna,19,30436,29689
AM,Iranduba,168,49011,48296
AM,Itacoatiara,316,102701,101337
AM,Itamarati,9,7814,7851
AM,Itapiranga,43,9230,9148
AM,Japurá,11,2251,2755
AM,Juruá,16,15106,14712
AM,Jutaí,36,13886,14317
AM,Lábrea,80,46882,46069
AM,Manacapuru,406,98502,97377
AM,Manaquiri,53,33049,32105
AM,Manaus,9504,2219580,2182763
AM,Manicoré,103,56583,55751
AM,Maraã,23,18261,18224
AM,Maués,130,65040,63905
AM,Nhamundá,38,21443,21173
AM,Nova Olinda do Norte,69,38026,37378
AM,Novo Airão,33,19928,19454
AM,Novo Aripuanã,31,26046,25644
AM,Parintins,358,115363,114273
AM,Pauini,22,19522,19426
AM,Presidente Figueiredo,111,37193,36279
AM,Rio Preto da Eva,85,34106,33347
AM,Santa Isabel do Rio Negro,54,25865,25156
AM,Santo Antônio do Içá,45,21243,21602
AM,Silves,22,9230,9171
AM,São Gabriel da Cachoeira,110,46303,45564
AM,São Paulo de Olivença,66,40073,39299
AM,São Sebastião do Uatumã,19,14352,14020
AM,Tabatinga,126,67182,65844
AM,Tapauá,24,17015,17156
AM,Tefé,200,59547,59849
AM,Tonantins,39,18897,18755
AM,Uarini,26,13690,13540
AM,Urucará,54,16130,16256
AM,Urucurituba,36,23585,23065
AP,Amapá,13,9187,9109
AP,Calçoene,14,11306,11117
AP,Cutias,7,6101,5983
AP,Ferreira Gomes,7,7967,7780
AP,Itaubal,3,5617,5503
AP,Laranjal do Jari,95,51362,50410
AP,Macapá,1500,512902,503327
AP,Mazagão,24,22053,21632
AP,Oiapoque,51,27906,27270
AP,Pedra Branca do Amapari,13,17067,16502
AP,Porto Grande,27,22452,21971
AP,Pracuúba,6,5246,5120
AP,Santana,201,123096,121364
AP,Serra do Navio,5,5488,5397
AP,Tartarugalzinho,14,17769,17315
AP,Vitória do Jari,28,16254,15931
BA,Abaré,11,20347,20086
BA,Abaíra,12,8710,8739
BA,Acajutiba,21,15187,15159
BA,Adustina,27,17126,17040
BA,Aiquara,12,4416,4446
BA,Alagoinhas,325,152327,151596
BA,Alcobaça,30,22490,22470
BA,Almadina,11,5366,5464
BA,Amargosa,57,37441,37241
BA,Amélia Rodrigues,51,25048,25102
BA,América Dourada,14,16090,16094
BA,Anagé,30,21607,22005
BA,Andaraí,10,13132,13143
BA,Andorinha,17,14503,14595
BA,Angical,20,13938,13977
BA,Anguera,2,11297,11221
BA,Antas,13,19479,19291
BA,Antônio Cardoso,11,11677,11683
BA,Antônio Gonçalves,10,11878,11798
BA,Aporá,19,17788,17731
BA,Apuarema,11,7302,7330
BA,Aracatu,18,13045,13135
BA,Araci,55,54648,54379
BA,Aramari,14,11461,11397
BA,Arataca,15,10961,11019
BA,Aratuípe,12,8837,8825
BA,Araçás,17,12208,12177
BA,Aurelino Leal,35,11299,11531
BA,Baianópolis,20,13929,13877
BA,Baixa Grande,19,20449,20468
BA,Banzaê,9,13240,13229
BA,Barra,66,53910,53578
BA,Barra da Estiva,33,20392,20598
BA,Barra do Choça,36,31209,31603
BA,Barra do Mendes,17,13833,13865
BA,Barra do Rocha,7,5612,5714
BA,Barreiras,332,156975,155439
BA,Barro Alto,14,15054,14931
BA,Barro Preto,12,5448,5591
BA,Barrocas,27,16105,15978
BA,Belmonte,26,23437,23328
BA,Belo Campo,18,17109,17211
BA,Biritinga,7,15984,15979
BA,Boa Nova,22,12329,12633
BA,Boa Vista do Tupim,11,18531,18576
BA,Bom Jesus da Lapa,98,69662,69148
BA,Bom Jesus da Serra,9,9823,9880
BA,Boninal,9,14446,14368
BA,Bonito,14,16884,16764
BA,Boquira,21,21497,21508
BA,Botuporã,5,10129,10211
BA,Brejolândia,11,10618,10557
BA,Brejões,12,14222,14295
BA,Brotas de Macaúbas,8,10130,10231
